名稱,外框,文字,名稱（英文）,文字,名稱(日文),文字,名稱（簡體中文）,文字
,,,,,,,,
有效ATK與有效MATK,category,名詞說明  重要,,,,,有效ATK与有效MATK,名词说明  重要
,caption,((!有效ATK))為物理技能在計算傷害時的基礎值，魔法技能則使用((!有效MATK))，另有部分技能/武器擁有特殊的有效ATK計算方式。,,,,,,((!有效ATK))为物理技能在计算伤害时的基础值，魔法技能则使用((!有效MATK))，另有部分技能/武器拥有特殊的有效ATK计算方式。
,list,對於大多數物理技能，((!有效ATK))公式為(( (角色ATK+角色等級-目標等級)×(100-目標物理抗性)%-目標DEF×(100-角色物理貫穿)% )),,,,,,对于大多数物理技能，((!有效ATK))公式为(( (角色ATK+角色等级-目标等级)×(100-目标物理抗性)%-目标DEF×(100-角色物理贯穿)% ))
,,((!有效MATK))與上式相似，僅需將公式內的所有參數變更為魔法相關參數即可（如角色ATK變為MATK、物理抗性變為魔法抗性）。,,,,,,((!有效MATK))与上式相似，仅需将公式内的所有参数变更为魔法相关参数即可（如角色ATK变为MATK、物理抗性变为魔法抗性）。
,,有效ATK/有效MATK可以為負數，在此狀況下會與技能常數抵銷。,,,,,,有效ATK/有效MATK可以为负数，在此状况下会与技能常数抵销。
總傷害與最終傷害,category,名詞說明  重要,,,,,总伤害与最终伤害,名词说明  重要
,caption,((!總傷害))與((!最終傷害))為兩類不同加成倍率項，在計算傷害時，兩者分別計算總倍率後，再與基礎傷害相乘。,,,,,,((!总伤害))与((!最终伤害))为两类不同加成倍率项，在计算伤害时，两者分别计算总倍率后，再与基础伤害相乘。
,list,此二名詞為魔法書所創造，遊戲內並無對應名詞。不過經分析，此二者差別為屬於被動效果或主動效果，被動類技能皆屬於((!總傷害))類、主動類技能則皆屬於((!最終傷害))類。,,,,,,此二名词为魔法书所创造，游戏内并无对应名词。不过经分析，此二者差别为属于被动效果或主动效果，被动类技能皆属于((!总伤害))类、主动类技能则皆属于((!最终伤害))类。
,,此外，#[雷吉斯托環]的((!修行者))與((!無之架式))，皆屬於獨立乘區，計算傷害時直接在最終值上相乘即可。,,,,,,此外，#[雷吉斯托环]的((!修行者))与((!无之架式))，皆属于独立乘区，计算伤害时直接在最终值上相乘即可。
動作時間幀數,category,名詞說明 重要,,,,,动作时间帧数,名词说明 重要
,caption,由於遊戲為60FPS，故測試結果以幀數(Frame)表示。,,,,,,由于游戏为60FPS，故测试结果以帧数(Frame)表示。
,list,若要換算秒數，將幀數除以60即可得出動作秒數。,,,,,,若要换算秒数，将帧数除以60即可得出动作秒数。
,,,,,,,,
技能動作,category,名詞說明 重要,,,,,技能动作,名词说明 重要
,caption,魔法書所述技能動作並不包含詠唱時間。,,,,,,魔法书所述技能动作并不包含咏唱时间。
,list,經實測，一個技能動作中有分為「((!可加速動作))」及「((!固定速度動作))」，固定動作中有約4幀是可以藉由技能中斷普攻，而使技能動作快4幀。,,,,,,
,,角色能力中的((!行動速度))表示動作時間的縮短量，例如((!行動速度))+((!40%))表示技能動作只需((!60%))時間，但((!固定速度動作))的部分無法加速。,,,,,,角色能力中的((!行动速度))表示动作时间的缩短量，例如((!行动速度))+((!40%))表示技能动作只需((!60%))时间，但((!固定速度动作))的部分无法加速。
,,槍、拔刀、雙劍以外職業，可以任意在普攻時發動技能(即斷攻)，因此非前三種職業單放或為連擊開頭技能時，大多會少4幀。,,,,,,枪、拔刀、双剑以外职业，可以任意在普攻时发动技能(即断攻)，因此非前三种职业单放或为连击开头技能时，大多会少4帧。
每下傷害共用判定/分開判定,category,名詞說明  重要,,,,,每下伤害共用判定/分开判定,名词说明  重要
